0	113
1	38
2	266
3	248
4	220
5	262
6	312
7	484
8	718
9	735
10	786
11	802
12	932
13	1144
14	1217
15	1125
16	1222
17	1371
18	1637
19	1701
20	1770
21	1805
22	2135
23	2152
24	2131
25	2190
26	2385
27	2675
28	2841
29	2912
30	2898
31	3014
32	3417
33	3511
34	3618
35	3709
36	3743
37	4251
38	4373
39	4308
40	4433
41	4789
42	4947
43	4908
44	5005
45	5201
46	5641
47	5655
48	5730
49	5804
50	5988
51	6531
52	6653
53	6649
54	6666
55	6956
56	7419
57	7581
58	7412
59	7587
60	7925
61	8432
62	8724
63	8614
64	8789
65	9320
66	9391
67	9471
68	9450
69	9865
70	10488
71	10704
72	10829
73	10674
74	11077
75	11686
76	11865
77	11915
78	11968
79	12390
80	12842
81	13039
82	13124
83	13186
84	13452
85	13950
86	14140
87	14273
88	14583
89	15029
90	15353
91	15334
92	15529
93	15888
94	16423
95	16728
96	16731
97	16756
98	21664
99	17878
100	18083
101	18241
102	18393
103	18741
104	19516
105	19683
106	19679
107	20171
108	20734
109	21146
110	21181
111	21439
112	21819
113	22381
114	22516
115	22994
116	23034
117	23191
118	23751
119	24158
120	24466
121	24456
122	25133
123	25661
124	26047
125	26331
126	26451
127	26935
128	27518
129	27920
130	28202
131	28502
132	29298
133	29886
134	30105
135	30071
136	30562
137	31193
138	31737
139	32033
140	32474
141	32923
142	33654
143	34397
144	34446
145	34592
146	35228
147	36081
148	36729
149	37092
150	57207
151	51371
152	38237
153	42553
154	64540
155	99124
156	75651
157	40382
158	40913
159	41146
160	41888
161	42548
162	42985
163	43449
164	43363
165	44065
166	44432
167	45068
168	45925
169	46292
170	46855
171	47624
172	48182
173	48766
174	48998
175	50097
176	50630
177	103423
178	51406
179	52038
180	52789
181	53111
182	53677
183	53753
184	54387
185	55441
186	55870
187	56493
188	57200
189	57541
190	58038
191	58946
192	59105
193	59697
194	60438
195	60561
196	61567
197	61667
198	62232
199	63342
200	63787
201	64724
202	65179
203	65656
204	66844
205	66764
206	67975
207	67848
208	68292
209	69012
210	69676
211	70756
212	70821
213	71327
214	72079
215	73335
216	73367
217	74229
218	75383
219	75662
220	76610
221	76906
222	77719
223	78063
224	79003
225	79594
226	80435
227	81006
228	82425
229	82459
230	82983
231	83789
232	84244
233	84532
234	85828
235	130073
236	127214
237	94347
238	90598
239	90079
240	90275
241	90567
242	91575
243	92071
244	92530
245	93349
246	93741
247	94504
248	94748
249	95518
250	95638
251	96986
252	97976
253	101892
254	98389
255	99271
256	99865
257	100968
258	101316
259	102818
260	152492
261	133918
262	102226
263	102852
264	103279
265	104250
266	120902
267	110087
268	107423
269	107559
270	108157
271	108528
272	108713
273	109830
274	153737
275	111522
276	112663
277	113358
278	114126
279	114488
280	136580
281	129764
282	117151
283	116569
284	117600
285	118343
286	148127
287	127768
288	114703
289	115572
290	116855
291	117104
292	118011
293	118612
294	119872
295	121020
296	121296
297	121527
298	122061
299	122240
300	123406
